Dataset   Point Species  Nom      T_1           T_2           T_3           T_4           T_5           T_6           T_7           T_8           T_9           T_10
x00204005   56   CO   5.53911   5.73918   5.95194   5.90345   5.85558   5.80872   5.76204   5.71637   5.67088   5.62638   5.58246
x00204005   57   CO   0.221894   0.198418   0.175102   0.180287   0.185485   0.190631   0.195848   0.20107   0.206295   0.211454   0.216676
x00204005   58   CO   3.11617   3.06904   3.0181   3.02969   3.04107   3.05247   3.06367   3.07441   3.08518   3.09572   3.10605
x00204005   59   CO   8.22552   8.21285   8.19316   8.19808   8.20265   8.20687   8.21109   8.21461   8.21778   8.22059   8.22341
x00204005   33   CO2   171.114   172.344   173.375   173.161   172.939   172.708   172.468   172.218   171.958   171.688   171.407
x00204005   35   CO2   17.1537   31.802   46.485   43.3145   40.0474   36.7696   33.4488   30.1353   26.7973   23.5438   20.294
x00204005   36   CO2   15.9415   11.7132   7.91672   8.71659   9.54292   10.3941   11.2678   12.164   13.0804   14.0164   14.9705
x00204005   37   CO2   4.73815   3.64691   2.64766   2.86066   3.07917   3.30258   3.53089   3.76414   4.00138   4.24303   4.48846
x00204005   38   CO2   4.34392   3.73043   3.13956   3.26863   3.39917   3.53081   3.66377   3.79769   3.9328   4.06871   4.20598
x00204005   39   CO2   0.197783   0.119335   0.0587435   0.0705534   0.0833307   0.0970484   0.111679   0.127197   0.143575   0.160839   0.178917
x00204005   40   CO2   0.00449013   0.018416   0.0427976   0.036417   0.0306144   0.0253343   0.0205883   0.0163803   0.0126664   0.00945281   0.00673825
x00204005   41   CO2   0.484336   0.551837   0.626465   0.60925   0.592446   0.575962   0.559793   0.544019   0.528632   0.513465   0.498755
x00204005   1   O2   3.72E-10   3.72E-10   3.72E-10   3.72E-10   3.72E-10   3.72E-10   3.72E-10   3.72E-10   3.72E-10   3.72E-10   3.72E-10
